instance,gecode_lns90.mzn,gecode_lns94.mzn,gecode_plain_bin_packing.mzn,gecode_plain_no_bin_packing.mzn,gecode_sym.mzn,gecode_sym_lns90.mzn,gecode_sym_lns94.mzn,gecode_sym_simple.mzn,gecode_sym_simple_lns90.mzn,gecode_sym_simple_lns94.mzn
11,530,505,1093,1131,0,0,0,0,519,575
12,368,346,0,1072,0,0,0,0,368,385
13,636,682,1070,1214,1204,678,668,1006,666,598
14,783,806,2319,1513,0,0,0,2125,773,786
15,772,773,1354,1182,0,925,871,1617,754,793
16,286,286,0,578,0,0,0,0,286,286
17,1151,1212,3048,1105,2987,0,0,2963,1155,1214
18,697,719,1462,1206,0,0,0,2003,665,727
19,334,334,0,1248,0,0,0,1717,336,335
20,1059,1091,4360,1365,0,0,0,3665,1118,1142
21,607,602,0,1763,0,0,0,1712,591,587
